Facility,Region,County,Y,X,MMBTU_potential,Type,Type_Num
McCullen Farms 5&6,Fayetteville,Sampson,35.065861,-78.311541,1680,Swine - Feeder to Finish,3
S & S Farm 3,Wilmington,Duplin,35.1478,-78.0372,1680,Swine - Feeder to Finish,3
Pussell Run Farm,Fayetteville,Sampson,35.152411,-78.495375,1680,Swine - Feeder to Finish,3
Dexter Jackson 29 & 30,Washington,Wayne,35.2403,-78.0486,1680,Swine - Feeder to Finish,3
George Grantham Farm,Washington,Wayne,35.3444,-78.1406,1680,Swine - Feeder to Finish,3
Rabon Maready Farm,Wilmington,Duplin,34.8878,-77.7758,1662,Swine - Farrow to Wean,1
Morris Brinson Farm,Wilmington,Onslow,34.9525,-77.5778,1659,Swine - Feeder to Finish,3
Cabin Farm,Wilmington,Duplin,34.9597,-77.8014,1659,Swine - Feeder to Finish,3
J&J Farm,Fayetteville,Sampson,35.171516,-78.417994,1659,Swine - Feeder to Finish,3
Leo Martin Farm,Washington,Wayne,35.2639,-78.1375,1659,Swine - Feeder to Finish,3
R. & G. Farm,Washington,Lenoir,35.3178,-77.450919,1659,Swine - Wean to Feeder,2
Milton G. Ingram Farm,Washington,Wayne,35.4531,-78.1264,1659,Swine - Farrow to Wean,1
Wolf Branch Farm,Wilmington,Duplin,35.15912,-77.84137,1655,Multiple,7
Farm 3713,Fayetteville,Sampson,34.820975,-78.17968,1652,Swine - Wean to Feeder,2
3112,Wilmington,Duplin,34.933586,-78.030295,1652,Swine - Wean to Feeder,2
Triumph Farm,Wilmington,Duplin,35.0569,-77.9242,1652,Swine - Feeder to Finish,3
3111,Fayetteville,Sampson,35.085877,-78.206592,1652,Swine - Wean to Feeder,2
Farm 8152,Raleigh,Halifax,36.074517,-77.504862,1652,Swine - Farrow to Wean,1
Farm 8151,Raleigh,Halifax,36.0808,-77.4953,1652,Swine - Feeder to Finish,3
Farm 5702,Fayetteville,Robeson,34.502811,-79.214233,1644,Swine - Farrow to Wean,1
French's Creek Sow Farm,Fayetteville,Bladen,34.547038,-78.418533,1644,Swine - Farrow to Wean,1
Farm 5710,Fayetteville,Bladen,34.57973,-78.804083,1644,Swine - Farrow to Wean,1
Farm 5701,Fayetteville,Robeson,34.614917,-79.364689,1644,Swine - Farrow to Wean,1
2601,Wilmington,Pender,34.62,-78.1044,1644,Swine - Farrow to Wean,1
Farm 5782,Fayetteville,Robeson,34.643167,-79.424869,1644,Swine - Feeder to Finish,3
Phillips Partners,Wilmington,Pender,34.705,-77.9775,1644,Swine - Feeder to Finish,3
"Turnbull Company Farms, LLC",Fayetteville,Bladen,34.73215,-78.673569,1644,Swine - Wean to Finish,6
2602-1,Fayetteville,Bladen,34.749941,-78.442336,1644,Swine - Wean to Finish,6
