Facility,Region,County,Y,X,MMBTU_potential,Type,Type_Num
JRock 1 & 2,Fayetteville,Bladen,34.542238,-78.58683,1300,Swine - Wean to Feeder,2
Jenni Farm #1 & 2,Wilmington,Pender,34.6258,-77.9481,1300,Swine - Wean to Feeder,2
A&G Smith Farms,Wilmington,Pender,34.648402,-78.130436,1300,Swine - Feeder to Finish,3
Jonathan Rivenbark Farm,Wilmington,Pender,34.6642,-77.9269,1300,Swine - Farrow to Wean,1
Young Nursery #1 & #2,Fayetteville,Sampson,34.669599,-78.188125,1300,Swine - Farrow to Wean,1
Shannonbrooke Farms,Fayetteville,Bladen,34.674616,-78.661641,1300,Swine - Farrow to Wean,1
Paul Stanley Nurseries,Fayetteville,Sampson,34.68733,-78.153383,1300,Swine - Feeder to Finish,3
Arran Nursery #1&2,Fayetteville,Sampson,34.704311,-78.325877,1300,Swine - Feeder to Finish,3
I-40 Nursery #1 & #2,Wilmington,Duplin,34.738185,-77.949058,1300,Swine - Wean to Feeder,2
B&K Nursery 1 & 2,Fayetteville,Sampson,34.758111,-78.213291,1300,Swine - Feeder to Finish,3
Hazelwood Family Farms,Fayetteville,Bladen,34.761508,-78.433408,1300,Swine - Wean to Feeder,2
Joe & Dwight Sholar Farm 1&2,Wilmington,Duplin,34.7708,-77.7867,1300,Swine - Feeder to Finish,3
Backwoods Nursery #1 & #2,Wilmington,Duplin,34.7869,-77.7422,1300,Swine - Farrow to Wean,1
Down Yonder Farms #1 & #2,Wilmington,Duplin,34.8061,-77.7167,1300,Swine - Feeder to Finish,3
