ACRES_AG_1MI,BIRD_COUNT,Barns,COUNTYNAME,Operation,APP_RATE,Status,WASTE_OUTPUT,TYPE,X,Y,MMBTU_potential
325,96954,6,Johnston,Unknown,5877,Unknown,955,Poultry - Broiler,-78.6526,35.4996,7291.804896403996
832,64636,4,Johnston,Unknown,1531,Unknown,637,Poultry - Broiler,-78.1719,35.4866,4863.748396868425
756,40196,4,Wayne,Unknown,1749,Unknown,661,Poultry - Turkey,-78.0466,35.4872,5046.997944003185
727,110372,4,Harnett,Unknown,2187,Unknown,795,Poultry - Broiler,-78.7421,35.4555,6070.141248838929
1148,40196,4,Wayne,Unknown,1152,Unknown,661,Poultry - Turkey,-77.9703,35.476,5046.997944003185
895,47840,8,Greene,Unknown,1645,Unknown,736,Poultry - Broiler,-77.714,35.4548,5619.65277879931
1148,33759,3,Pitt,Unknown,423,Unknown,243,Poultry - Broiler,-77.3697,35.4647,1855.401664739446
986,89154,6,Cleveland,Unknown,1400,Unknown,690,Poultry - Broiler,-81.5406,35.4513,5268.424480124353
685,118872,8,Cleveland,Unknown,2683,Unknown,919,Poultry - Broiler,-81.5097,35.4572,7016.930575701856
519,89154,6,Cleveland,Unknown,2659,Unknown,690,Poultry - Broiler,-81.479,35.4635,5268.424480124353
694,122610,10,Lincoln,Unknown,2602,Unknown,903,Poultry - Broiler,-81.4282,35.4811,6894.764210945349
437,49044,4,Lincoln,Unknown,1652,Unknown,361,Poultry - Broiler,-81.3597,35.4557,2756.3786048186835
263,73566,6,Lincoln,Unknown,4122,Unknown,542,Poultry - Broiler,-81.1892,35.4445,4138.385606126666
24,14239,1,Mecklenburg,Unknown,26250,Unknown,315,Poultry - Layer,-80.7927,35.4753,2405.1503061437265
58,15179,1,Cabarrus,Unknown,3759,Unknown,109,Poultry - Broiler,-80.7746,35.4725,832.2583599037022
270,30358,2,Cabarrus,FARMERS COVE LLC,1622,Unknown,219,Poultry - Broiler,-80.7178,35.472,1672.152117604686
452,30358,2,Cabarrus,Unknown,969,Unknown,219,Poultry - Broiler,-80.3414,35.4527,1672.152117604686
637,20738,2,Stanly,Unknown,779,Unknown,248,Poultry - Broiler,-80.3008,35.4463,1893.5786537258543
230,41476,4,Stanly,Unknown,4304,Unknown,495,Poultry - Broiler,-80.2726,35.4662,3779.5219096544274
285,93321,9,Stanly,RICHFIELD CO LLC,7818,Unknown,1114,Poultry - Broiler,-80.2514,35.4597,8505.83314617178
112,20738,2,Stanly,TALLEY FARMS,4429,Unknown,248,Poultry - Broiler,-80.184,35.4622,1893.5786537258543
427,73566,6,Lincoln,Unknown,2539,Unknown,542,Poultry - Broiler,-81.4583,35.4367,4138.385606126666
190,89154,6,Cleveland,Unknown,7263,Unknown,690,Poultry - Broiler,-81.5506,35.4045,5268.424480124353
423,89154,6,Cleveland,Unknown,3262,Unknown,690,Poultry - Broiler,-81.4856,35.395,5268.424480124353
